Equity Scheme - Large Cap Fund
Equity Scheme - Large & Mid Cap Fund
Equity Scheme - Mid Cap Fund
Equity Scheme - Small Cap Fund
Equity Scheme - Multi Cap Fund
Equity Scheme - Flexi Cap Fund
Equity Scheme - Focused Fund
Equity Scheme - Value Fund
Equity Scheme - Contra Fund
Equity Scheme - Sectoral/ Thematic
Equity Scheme - Sectoral/ Thematic - Financial
Equity Scheme - Sectoral/ Thematic - Technology
Equity Scheme - Sectoral/ Thematic - Pharma
Equity Scheme - Sectoral/ Thematic - Infrastructure
Equity Scheme - Sectoral/ Thematic - FMCG
Equity Scheme - Sectoral/ Thematic - Energy
Equity Scheme - Sectoral/ Thematic - MNC
Equity Scheme - Sectoral/ Thematic - Consumption
Equity Scheme - Sectoral/ Thematic - International
Equity Scheme - Sectoral/ Thematic - ESG
Equity Scheme - Sectoral/ Thematic - PSU
Equity Scheme - Sectoral/ Thematic - Dividend Yield
Other Scheme - FoF Domestic
Other Scheme - FoF Overseas
Other Scheme - Index Funds
Other Scheme - Other  ETFs
Equity Scheme - Dividend Yield Fund
Equity Scheme - ELSS
Other Scheme - Gold ETF
Growth
Hybrid Scheme - Aggressive Hybrid Fund
Hybrid Scheme - Arbitrage Fund
Hybrid Scheme - Balanced Hybrid Fund
Hybrid Scheme - Conservative Hybrid Fund
Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage
Hybrid Scheme - Equity Savings
Hybrid Scheme - Multi Asset Allocation
Debt Scheme - Banking and PSU Fund
Debt Scheme - Corporate Bond Fund
Debt Scheme - Credit Risk Fund
Debt Scheme - Dynamic Bond
Debt Scheme - Floater Fund
Debt Scheme - Gilt Fund
Debt Scheme - Gilt Fund with 10 year constant duration
Debt Scheme - Liquid Fund
Debt Scheme - Long Duration Fund
Debt Scheme - Low Duration Fund
Debt Scheme - Medium Duration Fund
Debt Scheme - Medium to Long Duration Fund
Debt Scheme - Money Market Fund
Debt Scheme - Overnight Fund
Debt Scheme - Short Duration Fund
Debt Scheme - Ultra Short Duration Fund
Floating Rate
Gilt
Income
Money Market
Solution Oriented Scheme - Children’s Fund
Solution Oriented Scheme - Retirement Fund
