124179,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,false,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly
140286,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,true,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option
140288,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option
140291,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option
140293,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option
140290,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option
140283,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,true,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option
140284,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option
140294,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option
140292,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option
140289,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option
129008,Franklin Templeton Mutual Fund,Debt Scheme,Banking and PSU Fund,true,Franklin India Banking & PSU Debt Fund - Direct - Growth
129006,Franklin Templeton Mutual Fund,Debt Scheme,Banking and PSU Fund,true,Franklin India Banking & PSU Debt Fund - Growth
129009,Franklin Templeton Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Franklin India Banking and PSU Debt Fund - Direct - IDCW 
129007,Franklin Templeton Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Franklin India Banking and PSU Debt Fund - IDCW 
128628,HDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,true,HDFC Banking and PSU Debt Fund - Growth Option
128629,HDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,true,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan
128627,HDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,HDFC Banking and PSU Debt Fund - IDCW Option
128626,HDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan
112343,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW
112344,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW
130897,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ICICI Prudential Banking and PSU Debt Fund - Bonus
120257,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW
120256,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,true,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth
120258,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW
120255,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW
130950,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus
